File Name,Paper Title,Research Category / Keywords,Venue,In,Use,R,AF,Datasets,Link,Notes ,Column1
Putnam-AXIOM.pdf,Putnam-AXIOM: A Functional & Static Benchmark for Measuring Higher Level Mathematical Reasoning in LLMs,"Putnam competition, functional variants, contamination-resilient benchmarks, Teacher-Forced Accuracy.",ICML 2025,20,30,30.00%,60,Putnam-AXIOM,,Math reseaning,
PutnamBench.pdf,PUTNAMBENCH: Evaluating Neural Theorem-Provers on the Putnam Mathematical Competition,"Multi-language benchmark, undergraduate competition math, Lean 4, Isabelle, Coq.",NeurIPS 2024,80,100,100.00%,80,"PutnamBench (Lean, Isabelle, Coq)",https://github.com/TrishulLab/PutnamBench,,
QDTSynth.pdf,QDTSynth: Quality-Driven Formal Theorem Synthesis for Enhancing Proving Performance of LLMs,"Lean 4, adaptive MCTS, diversity screening, self-assessment.",,20,60,70.00%,70,MiniF2F,,,
RAG-Verus.pdf,RAGVERUS: Repository-Level Program Verification with LLMs using Retrieval Augmented Generation,"Repository-level verification, Verus, Rust, RAG, dependency retrieval.",,70,90,90.00%,90,RepoVBench,,Verus SMT to verify Rust programs,
REAL-Prover.pdf,REAL-Prover: Retrieval Augmented Lean Prover for Mathematical Reasoning,"Stepwise theorem-prover, Lean 4, semantic premise selection, Mathlib.",,65,90,90.00%,90,"HERALD-AF, MiniF2F, ProofNet, FATE-M",https://github.com/frenzymath/REAL-Prover,,
RealMath.pdf,RealMath: A Continuous Benchmark for Evaluating Language Models on Research-Level Mathematics,"Research-level math, continuous benchmarking, arXiv/Stack Exchange data.",,50,50,50.00%,50,RealMath,https://github.com/ethz-spylab/RealMath,dataset,
REFACTOR.pdf,REFACTOR: LEARNING TO EXTRACT THEOREMS FROM PROOFS,"Metamath, proof trees, theorem extraction, library refactoring.",,10,100,50.00%,-1,,https://github.com/jinpz/refactor,heorem extraction FROM proofs,
ReForm.pdf,REFORM: Reflective Autoformalization with Prospective Bounded Sequence Optimization,"Reflective autoformalization, PBSO, self-correction loop, semantic consistency.",,100,100,100.00%,100,"miniF2F, ProofNet, Putnambench, AIME2025",https://github.com/Chen-GX/ReForm,,
Retrieval-Augmented_TLAPS_Proof.pdf,Retrieval-Augmented TLAPS Proof Generation with Large Language Models,"TLA+ Proof System (TLAPS), RAG, sub-proof obligation decomposition.",,10,100,100.00%,100,Examples of TLA+ specifications,,No exp,
RGCN.pdf,Combining Textual and Structural Information for Premise Selection in Lean,"Premise selection, Lean 4, Relational GCN (RGCN), dependency graphs.",NeurIPS 2023,10,50,50.00%,80,LeanDojo,,,
RocqStar.pdf,RocqStar: Leveraging Similarity-driven Retrieval and Agentic Systems for Rocq generation,"Rocq (Coq), self-attentive embedder, agentic systems, multi-agent debate.",NeurIPS 2025,70,100,80.00%,80,Own data,https://github.com/JetBrains-Research/rocqstar-rag,,
Safe.pdf,Safe: Enhancing Mathematical Reasoning in Large Language Models via Retrospective Step-aware Formal Verification,"Retrospective formal verification, Lean 4, FormalStep benchmark, neuro-symbolic system.",,,,,,,,,
Seed-Prover.pdf,Seed-Prover: Deep and Broad Reasoning for Automated Theorem Proving,"Lemma-style proving, IMO-level math, test-time scaling, Seed-Geometry engine.",,100,100,90.00%,90,"MiniF2F, IMO 2025, MiniCTX-v2, CombiBench, PutnamBench ",https://github.com/ByteDance-Seed/Seed-Prover,,
SITA.pdf,SITA: A Framework for Structure-to-Instance Theorem Autoformalization,"Structure-to-instance reasoning, Lean 4, optimization algorithms, feedback-guided refinement.",,50,100,100.00%,100,Own data,https://github.com/chenyili0818/SITA,Math reseaning,
SPEAC.pdf,Synthetic Programming Elicitation for Text-to-Code in Very Low-Resource Programming and Formal Languages,"UCLID5, synthetic programming elicitation, program repair, MAX-SMT.",NeurIPS 2024,10,20,50.00%,50,,,z3,
Strat2Rocq.pdf,Proof Strategy Extraction from LLMs for Enhancing Symbolic Provers,"Software verification, Rocq, strategy extraction, CoqHammer enhancement.",,10,100,50.00%,60,,,coq,
Synthesis_of_AI-Enabled_Formal_Methods.pdf,Traceable and Verifiable Software Requirements: A Synthesis of AI-Enabled Formal Methods,"Requirements formalization, Frama-C EVA/RTE, traceability, ACSL annotations.",,10,100,100.00%,1,,,software,
Tacq.pdf,Tacq - Context Aware Tactic Recommendation for Rocq,"Tactic recommendation, MathComp library, notation extraction, docstring generation.",,10,,,,,,,
TheoremLlama.pdf,TheoremLlama: Transforming General-Purpose LLMs into Lean4 Experts,"Lean 4 expert training, NL-FL bootstrapping, OBT dataset, iterative proof writing.",,50,100,90.00%,90,MiniF2F,https://github.com/RickySkywalker/TheoremLlama,,
Thor.pdf,Thor: Wielding Hammers to Integrate Language Models and Automated Theorem Provers,"Premise selection, neuro-symbolic models, Sledgehammer integration, Isabelle, Automated Theorem Proving (ATP).",NeurIPS 2022,50,80,80.00%,80,"MiniF2F, PISA",,,
tla_paper.pdf,Model Checking TLA+ Specifications,"TLA+, TLC model checker, finite-state models, cache coherence protocols.",,0,100,60.00%,0,,,,
TLA+_Proof_Automation.pdf,Towards Language Model Guided $TLA^{+}$ Proof Automation,"TLA+, hierarchical decomposition, normalized sub-claims, symbolic provers.",,100,100,100.00%,100,TLA+ from MiniF2F,,,
Translating_Informal_Proofs.pdf,Translating Informal Proofs into Formal Proofs Using a Chain of States,"Chain of States (CoS), Lean 4, semantic alignment, error recovery.",,60,90,90.00%,90,MiniF2F,,algorithm 1,
Translation_Formal-to-Informal.pdf,Natural Language Translation of Formal Proofs through Informalization of Proof Steps and Recursive Summarization along Proof Structure,"Auto-informalization, Lean 4, recursive summarization, premise library.",,1,80,80.00%,-1,,, Translation of Formal Proofs through Informalization ,
TRIGO.pdf,TRIGO: Benchmarking Formal Mathematical Proof Reduction for Generative Language Models,"Trigonometric reduction, Lean, numerical reasoning, out-of-distribution generalization.",,10,40,20.00%,10,TRIGO Dataset,https://github.com/menik1126/TRIGO,,
two-way_roadmap.pdf,Formal requirements engineering and large language models: A two-way roadmap,"Requirements engineering, formal methods, roadmap integration, LLM agents.",,80,100,80.00%,0,,,software,
veriBench.pdf,VeriBench-FTP: A Formal Theorem Proving Benchmark in Lean 4 for Code Verification,"Code verification benchmark, Lean 4, safety and correctness properties, security vulnerabilities, HumanEval.",NeurIPS 202,0,100,100.00%,0,VeriBench-FTP,,dataset,
VERIFAI.pdf,Leveraging LLMs for Formal Software Requirements: Challenges and Prospects,"Formalizing software requirements, multi-modal alignment, Frama-C, traceability.",,90,100,100.00%,0,,https://github.com/arshadbeg/OVERLAY2025_SupportingDocs,software,
VeriFast.pdf,Evaluating the Ability of GPT-4o to Generate Verifiable Specifications in VeriFast,"Static verification, separation logic, VeriFast, prompt engineering",,70,100,100.00%,50,VeriFast dataset,,software,
VerMCTS.pdf,"VerMCTS: Synthesizing Multi-Step Programs using a Verifier, a Large Language Model, and Tree Search","Multi-step program synthesis, Monte Carlo Tree Search (MCTS), progressive widening, Dafny and Coq verification.",,10,90,70.00%,80,Own data,,Synthesizing programs in Dafny and Coq,
